"Player Name" "1st Serve" "Break Points Saved" "Service Games Won" "2nd Srv. Return Won" "Break Points Won"
"Nikola Milojevic" 55.1 50.0 69.2 58.0 57.1
"Yasutaka Uchiyama" 63.4 57.1 88.0 47.7 26.1
"Noah Rubin" 61.1 60.9 74.5 49.4 37.5
"Mitchell Krueger" 59.5 54.8 68.1 52.9 32.3
"Emilio Gomez" 63.1 67.1 82.2 49.1 48.8
"Carlos Berlocq" 64.3 56.7 70.6 50.3 40.8
"Simone Bolelli" 66.4 60.3 79.1 46.1 36.9
"Vasek Pospisil" 57.6 61.9 82.3 44.6 36.4
"Jason Kubler" 62.1 55.9 67.9 49.8 42.9
"Marc Polmans" 57.7 60.0 69.6 48.8 18.8
"Daniel Brands" 65.9 62.2 81.8 45.1 31.9
"Darian King" 64.6 58.5 69.1 53.6 38.2
"Viktor Troicki" 60.7 59.7 76.8 49.2 40.5
"Aleksandr Nedovyesov" 66.1 52.3 71.6 43.6 30.6
"Maxime Janvier" 54.3 60.0 74.2 42.3 9.4
"Thanasi Kokkinakis" 59.0 64.2 80.4 48.2 37.3
"Christopher Eubanks" 63.3 58.0 77.8 41.4 36.5
"Daniel Elahi Galan Riveros" 60.8 58.7 80.6 47.7 44.6
"Viktor Galovic" 65.2 52.6 74.8 50.4 34.0
"Donald Young" 59.8 57.8 72.2 49.0 38.5
"Tallon Griekspoor" 68.3 52.8 72.6 45.5 40.0
"Constant Lestienne" 61.4 50.0 60.8 65.3 44.4
"Mirza Basic" 58.8 62.1 77.3 45.8 39.7
"Alexey Vatutin" 64.6 53.8 66.7 58.7 51.3
"James Ward" 60.5 59.2 76.1 46.8 32.2
"Thai Son Kwiatkowski" 64.7 47.8 73.3 45.8 50.0
"Attila Balazs" 60.1 62.6 74.9 44.4 33.0
"Mats Moraing" 53.8 50.0 90.9 44.0 0.0
"Andrea Arnaboldi" 57.8 61.5 69.1 46.2 31.0
"Jannik Sinner" 57.0 35.1 60.0 45.3 37.8
"Enrique Lopez Perez" 51.5 55.6 60.0 18.8 50.0
"Arthur De Greef" 58.6 57.9 72.4 40.0 36.2
"Yannick Hanfmann" 64.0 64.9 79.3 46.4 32.7
"Andy Murray" 58.1 62.4 82.0 55.2 43.6
"Roberto Marcora" 50.0 42.9 50.0 16.7 
"Evgeny Karlovskiy" 69.7 91.7 93.3 36.8 100.0
"Duck Hee Lee" 50.0 50.0 80.0 40.4 22.2
"Elliot Benchetrit" 50.0 43.8 40.0 46.7 27.3
"Ze Zhang" 64.1 56.9 69.6 48.9 42.4
"Lucas Miedler" 65.5 52.9 65.2 55.6 31.3
"Rogerio Dutra Silva" 60.9 55.7 70.0 46.3 35.7
"Sumit Nagal" 61.8 50.0 55.2 47.7 41.2
"John Patrick Smith" 63.8 55.8 76.1 45.0 40.0
"Roberto Quiroz" 63.5 67.4 89.5 39.6 38.3
"Luca Vanni" 57.3 58.1 79.5 41.9 33.3
"Steven Diez" 61.4 54.8 66.3 56.0 35.1
"Pedja Krstin" 63.7 39.1 70.8 52.9 52.0
"Steve Darcis" 60.9 59.0 76.3 49.4 40.1
"Pedro Cachin" 55.9 52.0 76.0 45.1 25.9
"Blaz Kavcic" 62.9 54.8 67.9 49.9 41.6
"Tim Smyczek" 61.5 59.1 72.4 48.6 37.9
"Zhe Li" 67.6 51.9 64.8 44.9 32.6
"Bernabe Zapata Miralles" 56.7 48.0 62.9 58.3 55.0
"Mohamed Safwat" 63.2 59.0 76.3 47.6 44.7
"Mathias Bourgue" 64.5 47.2 68.9 47.6 29.3
"Akira Santillan" 53.5 45.2 74.4 46.3 41.0
"Nicola Kuhn" 63.4 45.5 68.0 46.6 42.2
"Sergio Gutierrez Ferrol" 49.4 52.2 71.8 48.8 72.7
"Thiemo De Bakker" 59.9 62.0 78.7 45.5 37.7
"Santiago Giraldo" 63.6 59.7 76.8 48.6 39.1
"Zdenek Kolar" 55.8 50.0 60.0 50.0 14.3
"Yosuke Watanuki" 56.6 59.3 80.4 47.2 46.7
"Daniel Gimeno Traver" 59.0 57.8 74.1 47.6 36.7
"Jurgen Zopp" 60.0 58.7 76.8 46.0 32.9
"Saketh Myneni" 55.5 59.7 62.1 46.3 47.4
"Daniel Masur" 69.5 65.0 72.5 48.1 25.0
"Gleb Sakharov" 60.0 53.1 64.3 34.9 33.3
"Matteo Viola" 60.9 54.1 57.6 52.6 41.0
"Tristan Lamasine" 65.0 60.4 72.7 44.6 51.5
"Hiroki Moriya" 60.1 56.7 66.2 47.5 47.7
"Gianluigi Quinzi" 53.0 77.4 73.1 55.4 50.0
"Thomaz Bellucci" 58.1 59.2 76.8 50.0 38.9
"Yuichi Sugita" 60.5 58.7 74.5 49.7 38.3
"Filip Peliwo" 54.0 59.3 67.1 49.3 43.9
"Uladzimir Ignatik" 66.7 50.0 70.0 35.7 50.0
"Max Purcell" 69.8 28.6 44.4 57.1 100.0
"Tobias Kamke" 59.0 56.6 71.1 51.9 39.8
"Jc Aragone" 65.0 40.0 57.1 39.3 20.0
"Collin Altamirano" 52.7 50.0 63.0 38.0 33.3
"Marc Andrea Huesler" 60.2 64.0 85.0 49.7 40.0
"Jurij Rodionov" 55.9 45.5 73.9 49.2 22.2
"Cem Ilkel" 57.9 53.2 67.8 48.1 43.6
"Jose Hernandez" 69.3 50.0 74.0 48.3 21.1
"Ernesto Escobedo" 55.4 62.1 79.9 43.6 31.2
"Kevin Krawietz" 56.6 33.3 50.0 44.3 33.3
"Marcelo Tomas Barrios Vera" 64.9 66.7 91.7 52.8 20.0
"Roberto Ortega Olmedo" 51.7 77.8 77.8 21.1 0.0
"Kenny De Schepper" 66.8 66.2 81.2 43.2 28.8
"Jan Choinski" 66.7 33.3 60.0 50.0 0.0
"Janko Tipsarevic" 56.3 61.2 80.2 50.4 39.5
"Liam Broady" 60.9 55.7 68.3 46.3 37.1
"Roman Safiullin" 83.9 57.1 66.7 7.1 
"Jared Donaldson" 52.0 57.3 77.6 49.3 39.7
"Benjamin Bonzi" 57.2 55.9 68.8 47.9 38.5
"Aleksandar Vukic" 58.7 71.4 87.5 45.5 20.0
"Alexandre Muller" 58.0 65.0 70.8 50.0 43.8
"Laurynas Grigelis" 64.4 66.3 83.6 50.2 36.3
"Evan King" 62.9 51.4 72.6 47.7 45.8
"Nino Serdarusic" 53.5 70.0 75.0 44.6 50.0
"Marcelo Arevalo" 61.7 60.6 81.8 51.1 50.5
"Roberto Cid" 53.8 50.0 59.6 45.7 36.8
"Ji Sung Nam" 50.0    
"Tomislav Brkic" 67.4 57.6 80.8 50.0 24.4
"Emil Ruusuvuori" 65.6 51.0 69.2 50.9 42.0
"Carlos Taberner" 65.7 66.7 75.0 44.5 22.2
"Yibing Wu" 56.3 63.2 74.1 44.0 35.3
"Zhizhen Zhang" 58.1 58.7 77.6 50.9 36.2
"Tsung Hua Yang" 58.7 64.3 78.9 38.8 43.8
"Jurgen Melzer" 61.4 60.2 77.6 48.4 39.9
"Benjamin Hassan" 53.8 60.0 86.9 50.4 42.1
"Stephane Robert" 53.1 55.5 69.4 51.1 39.8
"Borna Gojo" 63.2 57.1 66.7 27.8 0.0
"Luke Saville" 60.2 60.5 71.7 41.7 48.6
"Frederico Ferreira Silva" 57.8 41.9 67.3 50.3 51.4
"Mate Valkusz" 64.2 52.6 58.1 51.8 34.6
"Gonzalo Escobar" 67.9 54.5 76.7 46.7 21.2
"Dimitar Kuzmanov" 62.9 50.0 70.1 46.3 45.7
"Guilherme Clezar" 62.8 55.2 65.7 49.1 34.0
"Christian Harrison" 56.0 58.4 68.0 48.5 50.0
"Gerald Melzer" 64.2 57.9 72.0 50.0 37.9
"Joris De Loore" 59.7 57.7 84.5 45.4 45.5
"Dragos Dima" 53.2 66.7 87.5 75.0 100.0
"Martin Cuevas" 58.9 60.0 79.5 50.0 33.3
"Adam Pavlasek" 61.5 57.7 72.6 44.3 47.2
"Scott Griekspoor" 55.4 57.1 80.0 36.8 33.3
"Gilles Muller" 61.4 66.5 84.8 44.8 34.4
"Oriol Roca Batalla" 61.7 93.3 96.9 45.9 20.0
"Gastao Elias" 52.5 56.2 71.7 46.5 40.7
"Renzo Olivo" 59.1 58.0 69.0 49.5 37.1
"Ryan Shane" 50.4 36.4 58.8 34.2 16.7
"Aslan Karatsev" 62.1 59.2 66.7 48.9 23.4
"Aldin Setkic" 65.1 62.9 56.7 39.7 16.7
"Alexander Sarkissian" 58.0 50.0 74.0 49.3 38.1
"Juan Pablo Varillas Patino Samudio" 55.1 55.6 82.9 49.0 21.6
"Di Wu" 59.4 53.8 63.7 50.2 37.9
"Vincent Millot" 59.2 59.7 69.2 48.8 41.9
"Calvin Hemery" 60.3 49.3 66.1 44.3 33.3
"Vaclav Safranek" 65.6 60.7 69.4 34.1 0.0
"Matteo Donati" 62.1 62.5 72.7 47.1 44.4
"Ante Pavic" 58.3 61.3 76.5 41.5 22.2
"Brydan Klein" 58.4 50.0 71.4 48.0 44.1
"Alessandro Bega" 67.1 20.0 66.7 51.1 28.6
"Dmitry Popko" 68.6 62.3 77.5 42.5 35.3
"Viktor Durasovic" 63.2 59.3 73.8 40.5 28.6
"Thiago Seyboth Wild" 55.4 53.1 77.9 45.5 26.8
"Horacio Zeballos" 62.3 62.2 79.4 45.5 37.1
"Zsombor Piros" 64.2 56.1 71.0 51.5 28.6
"Yan Bai" 54.4 62.9 65.7 43.5 43.3
"Jan Satral" 55.3 68.3 72.2 44.3 39.3
"Jose Rubin Statham" 62.4 53.8 67.1 48.0 31.2
"Pedro Sakamoto" 61.0 0.0 50.0 43.8 50.0
"Peter Torebko" 56.0 44.4 70.6 57.6 57.1
"Khumoun Sultanov" 54.3 80.0 87.5 66.7 71.4
"Sekou Bangoura" 66.7 0.0 90.9 28.0 
"Alejandro Gonzalez" 59.9 53.4 66.5 48.4 37.7
"Sebastian Korda" 64.5 70.6 64.3 54.5 42.9
"Illya Marchenko" 57.7 59.4 74.6 48.8 39.2
"Victor Estrella" 64.8 58.0 73.9 47.0 40.1
"Dennis Novikov" 54.6 60.6 81.2 49.2 35.5
"Sandro Ehrat" 53.2 46.2 75.9 37.5 60.0
"Geoffrey Blancaneaux" 54.2 41.7 36.4 37.0 0.0
"Yusuke Takahashi" 49.4 44.4 66.7 44.4 40.0
"Frank Dancevic" 60.4 60.8 78.6 45.3 33.9
"Kevin King" 62.6 68.9 70.2 48.0 22.7
"Franco Skugor" 59.6 57.4 72.3 46.7 35.5
"Andres Artunedo Martinavarr" 76.6 50.0 66.7 40.0 50.0
"Miljan Zekic" 66.2 68.0 73.3 42.1 22.2
"Edan Leshem" 59.5 44.8 69.8 43.9 50.0
"Teymuraz Gabashvili" 57.2 59.9 74.2 49.0 38.1
"Stefan Kozlov" 55.3 53.0 61.1 49.6 40.4
"Arjun Kadhe" 64.2 61.1 68.2 36.6 60.0
"Karim Mohamed Maamoun" 56.3 55.8 57.4 57.1 53.6
"Carlos Gomez Herrera" 68.5 63.6 73.3 47.8 10.0
"Youssef Hossam" 60.7 53.3 75.0 52.6 52.4
"Andrea Basso" 45.0 28.6 44.4 53.6 33.3
"Nam Hoang Ly" 61.8 47.4 67.7 52.8 57.1
"Ben Fatael" 0.0    
"Joao Souza" 62.6 53.6 74.2 45.5 35.8
"Ricardo Ojeda Lara" 68.5 57.5 70.7 48.1 50.0
"Tim Van Rijthoven" 55.6 72.7 78.6 40.6 25.0
"Chun Hsin Tseng" 57.9 58.8 77.4 49.4 55.6
"Gerard Granollers" 66.1 46.2 51.2 49.3 40.7
"Hugo Gaston" 47.3 33.3 50.0 33.3 
"Sanjar Fayziev" 57.0 59.5 67.0 47.1 19.4
"Yannick Mertens" 62.4 63.2 76.7 48.6 43.8
"Albano Olivetti" 57.2 66.0 83.7 41.1 23.4
"Orlando Luz" 50.7 40.0 70.0 38.5 0.0
"Altug Celikbilek" 57.6 60.0 77.8 46.3 32.1
"Markus Eriksson" 66.4 58.4 69.2 49.8 35.0
"Yuki Bhambri" 64.6 52.6 70.2 50.0 42.5
"Alexander Ward" 64.6 63.0 69.1 43.8 37.5
"Takanyi Garanganga" 61.3 53.5 71.8 47.6 43.2
"Konstantin Kravchuk" 62.0 61.1 76.0 44.2 35.5
"Harri Heliovaara" 62.2 58.5 74.6 52.3 47.1
"Louis Wessels" 71.0 46.2 66.7 40.5 33.3
"Jordi Samper Montana" 64.3 59.3 59.3 57.4 63.6
"Francisco Cerundolo" 65.8 54.5 61.5 43.5 50.0
"Riccardo Bellotti" 75.5 33.3 57.1 40.6 50.0
"Liam Caruana" 51.3 50.0 83.3 37.1 20.0
"Alexander Lazov" 66.7 45.5 25.0 45.0 50.0
"Daniel Altmaier" 59.5 61.8 78.3 43.0 35.0
"Lucas Gomez" 62.3 42.5 54.5 48.7 36.6
"Evgeny Tyurnev" 51.2 16.7 37.5 51.6 16.7
"Gonzalo Lama" 66.0 69.4 86.4 50.0 42.2
"Daniel Dutra Da Silva" 52.8 55.6 60.0 39.1 22.2
"Alexandar Lazarov" 52.0 52.9 64.4 53.6 26.1
"Alejandro Gomez Gb42" 49.2 65.5 61.5 37.5 50.0
